timestamp,window,true_hr,true_spo2
2026-04-19T00:02:54.800,1,83.0,98.0
2026-04-19T00:02:57.546,1,87.0,98.0
2026-04-19T00:02:59.326,1,87.0,98.0
2026-04-19T00:03:00.695,1,88.0,98.0
2026-04-19T00:03:03.336,1,87.0,98.0
2026-04-19T00:03:04.717,1,85.0,98.0
2026-04-19T00:03:07.999,2,81.0,98.0
2026-04-19T00:03:09.235,2,81.0,98.0
2026-04-19T00:03:12.762,2,80.0,98.0
2026-04-19T00:03:14.197,2,80.0,98.0
2026-04-19T00:03:15.368,2,81.0,98.0
2026-04-19T00:03:16.767,2,82.0,98.0
2026-04-19T00:03:21.419,3,81.0,99.0
2026-04-19T00:03:23.122,3,81.0,99.0
2026-04-19T00:03:24.703,3,82.0,99.0
2026-04-19T00:03:26.189,3,82.0,99.0
2026-04-19T00:03:28.265,3,84.0,99.0
2026-04-19T00:03:29.930,3,84.0,99.0
2026-04-19T00:03:33.094,4,84.0,99.0
2026-04-19T00:03:34.832,4,84.0,99.0
2026-04-19T00:03:36.330,4,83.0,99.0
2026-04-19T00:03:37.860,4,83.0,99.0
2026-04-19T00:03:39.463,4,83.0,99.0
2026-04-19T00:03:40.741,4,83.0,99.0
2026-04-19T00:03:42.039,4,84.0,99.0
2026-04-19T00:03:50.902,5,82.0,100.0
2026-04-19T00:03:52.820,5,82.0,100.0
2026-04-19T00:03:54.279,5,81.0,100.0
2026-04-19T00:03:55.840,5,83.0,100.0
2026-04-19T00:03:57.800,5,84.0,100.0
2026-04-19T00:03:59.957,5,86.0,100.0
2026-04-19T00:04:03.941,6,89.0,100.0
2026-04-19T00:04:05.651,6,89.0,100.0
2026-04-19T00:04:08.318,6,90.0,100.0
2026-04-19T00:04:09.998,6,91.0,100.0
2026-04-19T00:04:11.742,6,93.0,99.0
2026-04-19T00:04:13.515,6,95.0,99.0
2026-04-19T00:04:16.708,7,97.0,99.0
2026-04-19T00:04:18.625,7,97.0,98.0
2026-04-19T00:04:19.830,7,98.0,98.0
2026-04-19T00:04:21.191,7,97.0,98.0
2026-04-19T00:04:22.773,7,99.0,98.0
2026-04-19T00:04:24.254,7,98.0,97.0
2026-04-19T00:04:25.890,7,99.0,97.0
2026-04-19T00:04:31.563,8,107.0,94.0
2026-04-19T00:04:33.297,8,109.0,94.0
2026-04-19T00:04:34.871,8,108.0,93.0
2026-04-19T00:04:36.209,8,109.0,92.0
2026-04-19T00:04:38.463,8,100.0,90.0
2026-04-19T00:04:39.791,8,91.0,89.0
2026-04-19T00:04:46.649,9,82.0,86.0
2026-04-19T00:04:48.164,9,81.0,88.0
2026-04-19T00:04:49.580,9,82.0,89.0
2026-04-19T00:04:51.889,9,83.0,92.0
2026-04-19T00:04:53.208,9,82.0,96.0
2026-04-19T00:04:54.436,9,81.0,97.0
2026-04-19T00:04:56.047,9,79.0,99.0
2026-04-19T00:04:59.099,10,79.0,100.0
2026-04-19T00:05:00.473,10,79.0,100.0
2026-04-19T00:05:01.901,10,79.0,100.0
2026-04-19T00:05:03.628,10,79.0,99.0
2026-04-19T00:05:05.403,10,80.0,100.0
2026-04-19T00:05:08.128,10,81.0,100.0
2026-04-19T00:05:11.394,11,80.0,100.0
2026-04-19T00:05:13.076,11,80.0,100.0
2026-04-19T00:05:14.773,11,79.0,99.0
2026-04-19T00:05:16.474,11,79.0,99.0
2026-04-19T00:05:17.848,11,79.0,99.0
2026-04-19T00:05:19.120,11,79.0,99.0
2026-04-19T00:05:20.333,11,77.0,99.0
2026-04-19T00:05:25.392,12,78.0,100.0
2026-04-19T00:05:26.681,12,78.0,100.0
2026-04-19T00:05:28.045,12,79.0,100.0
2026-04-19T00:05:29.288,12,79.0,100.0
2026-04-19T00:05:31.476,12,83.0,100.0
2026-04-19T00:05:32.973,12,84.0,100.0
2026-04-19T00:05:34.153,12,84.0,100.0
2026-04-19T00:05:37.204,13,84.0,100.0
2026-04-19T00:05:41.057,13,85.0,99.0
2026-04-19T00:05:42.973,13,86.0,99.0
2026-04-19T00:05:44.247,13,88.0,99.0
2026-04-19T00:05:45.435,13,89.0,99.0
2026-04-19T00:05:48.679,14,93.0,99.0
2026-04-19T00:05:50.312,14,95.0,99.0
2026-04-19T00:05:51.437,14,98.0,99.0
2026-04-19T00:05:52.884,14,100.0,99.0
2026-04-19T00:05:55.676,14,102.0,98.0
2026-04-19T00:05:57.858,14,103.0,97.0
2026-04-19T00:06:05.148,15,106.0,96.0
2026-04-19T00:06:07.047,15,105.0,95.0
2026-04-19T00:06:09.560,15,94.0,94.0
2026-04-19T00:06:10.824,15,92.0,93.0
2026-04-19T00:06:12.775,15,87.0,92.0
2026-04-19T00:06:14.197,15,86.0,92.0
2026-04-19T00:06:18.424,16,83.0,93.0
2026-04-19T00:06:19.507,16,83.0,93.0
2026-04-19T00:06:20.843,16,81.0,94.0
2026-04-19T00:06:21.912,16,81.0,95.0
2026-04-19T00:06:23.014,16,81.0,96.0
2026-04-19T00:06:24.247,16,80.0,99.0
2026-04-19T00:06:25.621,16,80.0,100.0
2026-04-19T00:06:27.928,16,81.0,100.0
2026-04-19T00:06:33.913,17,81.0,100.0
2026-04-19T00:06:35.553,17,83.0,100.0
2026-04-19T00:06:36.946,17,83.0,100.0
2026-04-19T00:06:38.416,17,83.0,100.0
2026-04-19T00:06:39.833,17,85.0,100.0
2026-04-19T00:06:41.404,17,86.0,99.0
2026-04-19T00:06:43.016,17,86.0,99.0
2026-04-19T00:06:46.091,18,88.0,99.0
2026-04-19T00:06:47.424,18,88.0,99.0
2026-04-19T00:06:48.919,18,87.0,99.0
2026-04-19T00:06:50.429,18,88.0,99.0
2026-04-19T00:06:51.840,18,88.0,99.0
2026-04-19T00:06:55.635,18,92.0,99.0
2026-04-19T00:06:59.108,19,96.0,99.0
2026-04-19T00:07:00.966,19,97.0,99.0
2026-04-19T00:07:03.752,19,100.0,98.0
2026-04-19T00:07:05.059,19,100.0,98.0
2026-04-19T00:07:06.344,19,99.0,97.0
2026-04-19T00:07:08.143,19,97.0,100.0
2026-04-19T00:07:12.441,20,102.0,96.0
2026-04-19T00:07:14.358,20,101.0,96.0
2026-04-19T00:07:16.989,20,93.0,96.0
2026-04-19T00:07:18.494,20,91.0,95.0
2026-04-19T00:07:20.392,20,87.0,94.0
2026-04-19T00:07:21.811,20,86.0,94.0
2026-04-19T00:07:25.485,21,84.0,95.0
2026-04-19T00:07:28.720,21,83.0,97.0
2026-04-19T00:07:31.080,21,80.0,99.0
2026-04-19T00:07:33.076,21,80.0,99.0
2026-04-19T00:07:35.315,21,79.0,100.0
2026-04-19T00:07:39.651,22,79.0,100.0
2026-04-19T00:07:41.488,22,78.0,100.0
2026-04-19T00:07:43.322,22,77.0,100.0
2026-04-19T00:07:44.837,22,77.0,100.0
2026-04-19T00:07:47.029,22,79.0,100.0
2026-04-19T00:07:48.979,22,81.0,100.0
2026-04-19T00:07:53.342,23,83.0,99.0
2026-04-19T00:07:54.628,23,83.0,99.0
2026-04-19T00:07:55.806,23,83.0,99.0
2026-04-19T00:07:57.394,23,85.0,99.0
2026-04-19T00:07:58.913,23,88.0,99.0
2026-04-19T00:08:00.138,23,90.0,99.0
2026-04-19T00:08:01.267,23,93.0,99.0
2026-04-19T00:08:02.840,23,92.0,99.0
2026-04-19T00:08:05.262,24,90.0,99.0
2026-04-19T00:08:09.020,24,94.0,98.0
2026-04-19T00:08:11.607,24,97.0,98.0
2026-04-19T00:08:13.039,24,100.0,97.0
2026-04-19T00:08:15.201,24,101.0,97.0
